,#,Date-Time (EST),Ch:1 - Differential Pressure   (kpa),Ch:2 - Absolute Pressure   (kpa),Ch:3 - Temperature   (°C),Water Level   (m),Barometric Pressure   (kpa),Rh_ft,tau_b_Rh_Pa,tau_b_h_Pa,tau_st_Rh,tau_st_h
0,1.0,2024-02-08 16:41:54,1.24000000953674,96.62,7.69351577758789,0.156588945271567,95.3799999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
1,2.0,2024-02-08 16:46:54,1.25,96.65,7.69351577758789,0.156588945271567,95.4,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
2,3.0,2024-02-08 16:51:54,1.24000000953674,96.64,7.69351577758789,0.156588945271567,95.3999999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
3,4.0,2024-02-08 16:56:54,1.24000000953674,96.62,7.69351577758789,0.156588945271567,95.3799999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
4,5.0,2024-02-08 17:01:54,1.25,96.62,7.69351577758789,0.156588945271567,95.37,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
5,6.0,2024-02-08 17:06:54,1.25,96.62,7.69351577758789,0.156588945271567,95.37,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
6,7.0,2024-02-08 17:11:54,1.24000000953674,96.61,7.69351577758789,0.156588945271567,95.3699999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
7,8.0,2024-02-08 17:16:54,1.24000000953674,96.61,7.69351577758789,0.156588945271567,95.3699999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
8,9.0,2024-02-08 17:21:54,1.22000002861023,96.59,7.69351577758789,0.156588945271567,95.3699999713898,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
9,10.0,2024-02-08 17:26:54,1.23000001907349,96.62,7.69351577758789,0.156588945271567,95.3899999809265,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
10,11.0,2024-02-08 17:31:54,1.23000001907349,96.62,7.69351577758789,0.156588945271567,95.3899999809265,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
11,12.0,2024-02-08 17:36:54,1.23000001907349,96.62,7.69351577758789,0.156588945271567,95.3899999809265,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
12,13.0,2024-02-08 17:41:54,1.24000000953674,96.62,7.69351577758789,0.156588945271567,95.3799999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
13,14.0,2024-02-08 17:46:54,1.24000000953674,96.62,7.69351577758789,0.156588945271567,95.3799999904633,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
14,15.0,2024-02-08 17:51:54,1.25999999046326,96.65,7.69351577758789,0.156588945271567,95.3900000095367,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
15,16.0,2024-02-08 17:56:54,1.25,96.64,7.69351577758789,0.156588945271567,95.39,0.12088342472821122,3.201501004768774,4.147133213256892,0.016025105318943113,0.020758464987246993
16,17.0,2024-02-08 18:01:54,1.24000000953674,96.64,7.59314346313477,0.156588945271567,95.3999999904633,0.12088342472821122,3.201518757867152,4.14715621011487,0.01602525482921611,0.02075865865859614
17,18.0,2024-02-08 18:06:54,1.24000000953674,96.66,7.59314346313477,0.156588945271567,95.4199999904633,0.12088342472821122,3.201518757867152,4.14715621011487,0.01602525482921611,0.02075865865859614
18,19.0,2024-02-08 18:11:54,1.25,96.66,7.59314346313477,0.156588945271567,95.41,0.12088342472821122,3.201518757867152,4.14715621011487,0.01602525482921611,0.02075865865859614
19,20.0,2024-02-08 18:16:54,1.24000000953674,96.66,7.59314346313477,0.156588945271567,95.4199999904633,0.12088342472821122,3.201518757867152,4.14715621011487,0.01602525482921611,0.02075865865859614
20,21.0,2024-02-08 18:21:54,1.24000000953674,96.65,7.49264907836914,0.156588945271567,95.4099999904633,0.12088342472821122,3.201536069668793,4.147178635329624,0.016025400624134926,0.020758847517181298
21,22.0,2024-02-08 18:26:54,1.25,96.65,7.49264907836914,0.156588945271567,95.4,0.12088342472821122,3.201536069668793,4.147178635329624,0.016025400624134926,0.020758847517181298
22,23.0,2024-02-08 18:31:54,1.25,96.66,7.49264907836914,0.156588945271567,95.41,0.12088342472821122,3.201536069668793,4.147178635329624,0.016025400624134926,0.020758847517181298
23,24.0,2024-02-08 18:36:54,1.25999999046326,96.68,7.49264907836914,0.156588945271567,95.4200000095367,0.12088342472821122,3.201536069668793,4.147178635329624,0.016025400624134926,0.020758847517181298
24,25.0,2024-02-08 18:41:54,1.25,96.67,7.49264907836914,0.156588945271567,95.42,0.12088342472821122,3.201536069668793,4.147178635329624,0.016025400624134926,0.020758847517181298
25,26.0,2024-02-08 18:46:54,1.25,96.67,7.39206314086914,0.156588945271567,95.42,0.12088342472821122,3.2015529320964506,4.147200478438119,0.016025542635592332,0.020759031474778308
26,27.0,2024-02-08 18:51:54,1.25,96.68,7.39206314086914,0.156588945271567,95.43,0.12088342472821122,3.2015529320964506,4.147200478438119,0.016025542635592332,0.020759031474778308
27,28.0,2024-02-08 18:56:54,1.24000000953674,96.68,7.39206314086914,0.156588945271567,95.4399999904633,0.12088342472821122,3.2015529320964506,4.147200478438119,0.016025542635592332,0.020759031474778308
28,29.0,2024-02-08 19:01:54,1.25,96.68,7.39206314086914,0.156588945271567,95.43,0.12088342472821122,3.2015529320964506,4.147200478438119,0.016025542635592332,0.020759031474778308
29,30.0,2024-02-08 19:06:54,1.25,96.69,7.29135513305664,0.156588945271567,95.44,0.12088342472821122,3.201569347428384,4.147221742391548,0.0160256808826939,0.020759210556135995
