,#,Date-Time (EST/EDT),Ch:1 - Differential Pressure   (kpa),Ch:2 - Absolute Pressure   (kpa),Ch:3 - Temperature   (°C),Water Level   (m),Barometric Pressure   (kpa),Rh_ft,tau_b_Rh_Pa,tau_b_h_Pa,tau_st_Rh,tau_st_h
9186,9187,2024-03-12 12:52:28,2.11708617210388,97.282091740215,7.79379653930664,0.245969614484515,95.1650055681111,0.19647418773866268,5.203432444373132,6.514271859676037,0.026045667128375086,0.0326070451100674
9187,9188,2024-03-12 12:55:28,2.1271595954895,97.2841609899141,7.89398574829102,0.24695556198176,95.1570013944246,0.19738003607868243,5.227392545308719,6.540345667032746,0.026165494929063674,0.032737426910601795
9188,9189,2024-03-12 12:58:28,2.13182139396667,97.2798202887062,7.89398574829102,0.247447843643195,95.1479988947396,0.1978322447275112,5.239368792586683,6.553383203849041,0.026225441534317568,0.03280268575628776
9189,9190,2024-03-12 13:01:28,2.12185978889465,97.2688673658425,7.99408340454102,0.246394687992092,95.1470075769478,0.19686475404180767,5.213714800969282,6.525452653610937,0.026096925423654927,0.032662747725521225
9190,9191,2024-03-12 13:04:28,2.12091302871704,97.2579142189979,8.09408950805664,0.2463260945648,95.1370011902809,0.1968017316642716,5.212013964599782,6.523596280683245,0.026088303474830026,0.032653319939983196
9191,9192,2024-03-12 13:07:28,2.12523293495178,97.2492325673674,8.09408950805664,0.246748057035618,95.1239996324156,0.19718940668421636,5.2222809861376085,6.534771356592597,0.02613969419931401,0.03270925585528534
9192,9193,2024-03-12 13:10:28,2.12161660194397,97.2426199480754,8.19400405883789,0.246397808584213,95.1210033461314,0.19686762115986384,5.213726469112192,6.525454866463624,0.02609676430871901,0.03266248405361447
9193,9194,2024-03-12 13:13:28,2.12361550331116,97.2426199480754,8.19400405883789,0.246608791171856,95.1190044447642,0.19706146147245954,5.218860022119065,6.5310424054161205,0.026122459773120596,0.03269045189733872
9194,9195,2024-03-12 13:16:28,2.11266088485718,97.2316656387559,8.29379653930664,0.245485277080904,95.1190047538987,0.19602912030162103,5.191487069112226,6.501246547768169,0.025985334465987116,0.03254117052409208
9195,9196,2024-03-12 13:19:28,2.12172842025757,97.23373482151,8.39352798461914,0.246401276014353,95.1120064012524,0.19687080694107834,5.213743776282889,6.525462760319188,0.026096621863522865,0.03266223685851305
9196,9197,2024-03-12 13:22:28,2.11904549598694,97.225052749891,8.39352798461914,0.24611996138995,95.1060072539041,0.19661233409874676,5.2068986213613275,6.518012684835943,0.02606235945492545,0.03262494660968545
9197,9198,2024-03-12 13:25:28,2.10876822471619,97.2227802251747,8.49313735961914,0.245137083819055,95.1140120004585,0.19570912670993917,5.182944549910134,6.491940023031692,0.025942343518179346,0.03249429673713669
9198,9199,2024-03-12 13:28:28,2.1091890335083,97.2291907514188,8.59268569946289,0.245138807461191,95.1200017179105,0.1957107108222267,5.182951440081468,6.4919417532795505,0.025942258246258176,0.032494155392009026
